Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Gthx.Bot\Gthx.Bot.csproj,File,Gthx.Bot\Gthx.Bot.csproj,,,System.Threading.Tasks.Dataflow 5.0.0,,,,,"System.Threading.Tasks.Dataflow, 5.0.0  Recommendation:  Remove System.Threading.Tasks.Dataflow, and replace with new package System.Threading.Tasks.Dataflow 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Gthx.Bot\Gthx.Bot.csproj,File,Gthx.Bot\Gthx.Bot.csproj,,,System.Threading.Tasks.Dataflow 5.0.0,,,,,"System.Threading.Tasks.Dataflow, 5.0.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove System.Threading.Tasks.Dataflow, and replace with new package System.Threading.Tasks.Dataflow, 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Gthx.Bot\Gthx.Bot.csproj,File,Gthx.Bot\Gthx.Bot.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Gthx.Data\Gthx.Core\Gthx.Core.csproj,File,Gthx.Data\Gthx.Core\Gthx.Core.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 5.0.7,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 5.0.7  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.7,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.7  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,Microsoft.Extensions.Logging.Console 5.0.0,,,,,"Microsoft.Extensions.Logging.Console, 5.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,Pomelo.EntityFrameworkCore.MySql 5.0.0,,,,,"Pomelo.EntityFrameworkCore.MySql, 5.0.0  Recommendation:  Should be replaced. Remove Pomelo.EntityFrameworkCore.MySql, and replace with new package Pomelo.EntityFrameworkCore.MySql, 9.0.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 5.0.7,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 5.0.7  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer, 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.7,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.7  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools, 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,Microsoft.Extensions.Logging.Console 5.0.0,,,,,"Microsoft.Extensions.Logging.Console, 5.0.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console, 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Gthx.Data\Gthx.Data\Gthx.Data.csproj,File,Gthx.Data\Gthx.Data\Gthx.Data.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Gthx.Test\Gthx.Test.csproj,File,Gthx.Test\Gthx.Test.csproj,,,Microsoft.AspNetCore.TestHost 5.0.7,,,,,"Microsoft.AspNetCore.TestHost, 5.0.7  Recommendation:  Remove Microsoft.AspNetCore.TestHost, and replace with new package Microsoft.AspNetCore.TestHost 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Gthx.Test\Gthx.Test.csproj,File,Gthx.Test\Gthx.Test.csproj,,,Microsoft.AspNetCore.TestHost 5.0.7,,,,,"Microsoft.AspNetCore.TestHost, 5.0.7  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.TestHost, and replace with new package Microsoft.AspNetCore.TestHost, 10.0.5"
